product_id,product_name,category,sub_category,cost_price,list_price
P0001,手机Lite-B4,手机数码,手机,3944.73,4272.15
P0002,手机S-Y2,手机数码,手机,1095.37,1196.47
P0003,手机Plus-B4,手机数码,手机,3665.81,3973.06
P0004,手机Pro-Y7,手机数码,手机,3180.53,3445.1
P0005,手机Plus-B7,手机数码,手机,1556.51,1791.09
P0006,手机Lite-A2,手机数码,手机,2239.43,2460.37
P0007,平板Lite-Y5,手机数码,平板,2465.59,2769.05
P0008,平板Air-A7,手机数码,平板,4900.63,5721.82
P0009,平板S-Y6,手机数码,平板,749.16,835.45
P0010,平板Plus-B5,手机数码,平板,3590.91,4181.79
P0011,平板Plus-X5,手机数码,平板,5915.76,6996.2
P0012,平板Pro-C6,手机数码,平板,2884.44,3403.91
P0013,耳机S-A3,手机数码,耳机,1494.19,1661.6
P0014,耳机Max-X5,手机数码,耳机,3344.6,3710.42
P0015,耳机Air-B6,手机数码,耳机,5940.28,6871.72
P0016,耳机Pro-A6,手机数码,耳机,5104.26,5987.91
P0017,耳机Air-C4,手机数码,耳机,2586.64,2814.12
P0018,耳机S-X3,手机数码,耳机,4036.0,4550.49
P0019,智能手表Air-Y5,手机数码,智能手表,1809.82,2008.17
P0020,智能手表Air-X6,手机数码,智能手表,4557.98,5156.95
P0021,智能手表Air-X2,手机数码,智能手表,1550.13,1859.7
P0022,智能手表Pro-B7,手机数码,智能手表,4607.96,5452.75
P0023,智能手表Air-X9,手机数码,智能手表,3699.53,4166.31
P0024,智能手表Plus-A9,手机数码,智能手表,1733.06,1986.76
P0025,充电器Lite-A5,手机数码,充电器,4580.0,5368.82
P0026,充电器S-C9,手机数码,充电器,2778.16,3151.67
P0027,充电器Plus-C9,手机数码,充电器,4643.18,5297.51
P0028,充电器Pro-Y9,手机数码,充电器,3771.13,4141.99
P0029,充电器Max-A2,手机数码,充电器,5535.41,6376.09
P0030,充电器Lite-B1,手机数码,充电器,5595.86,6633.59
P0031,男装Plus-A8,服装鞋包,男装,223.06,326.44
P0032,男装Air-B3,服装鞋包,男装,660.18,1020.37
P0033,男装Pro-C9,服装鞋包,男装,541.41,833.43
P0034,男装Pro-Y4,服装鞋包,男装,703.05,1008.61
P0035,男装S-C8,服装鞋包,男装,581.84,831.91
P0036,男装Pro-B2,服装鞋包,男装,723.71,1042.36
P0037,女装Pro-Y4,服装鞋包,女装,296.95,435.82
P0038,女装Plus-B2,服装鞋包,女装,45.47,67.82
P0039,女装Plus-Y4,服装鞋包,女装,728.12,1108.15
P0040,女装Air-B8,服装鞋包,女装,251.64,364.14
P0041,女装Max-B2,服装鞋包,女装,224.68,324.57
P0042,女装Max-X8,服装鞋包,女装,113.67,163.25
P0043,童装S-A1,服装鞋包,童装,696.52,947.85
P0044,童装Plus-B4,服装鞋包,童装,345.99,490.57
P0045,童装Max-B5,服装鞋包,童装,184.56,265.72
P0046,童装Plus-X9,服装鞋包,童装,391.6,597.15
P0047,童装Air-A2,服装鞋包,童装,114.41,169.38
P0048,童装Pro-X8,服装鞋包,童装,744.04,1130.75
P0049,鞋靴Plus-B7,服装鞋包,鞋靴,405.83,618.05
P0050,鞋靴Max-C7,服装鞋包,鞋靴,41.64,59.47
P0051,鞋靴Air-X3,服装鞋包,鞋靴,569.41,851.89
P0052,鞋靴Plus-Y9,服装鞋包,鞋靴,184.32,256.86
P0053,鞋靴Plus-Y8,服装鞋包,鞋靴,86.33,121.96
P0054,鞋靴Pro-A9,服装鞋包,鞋靴,422.17,641.93
P0055,箱包Air-A4,服装鞋包,箱包,100.88,139.94
P0056,箱包Air-B1,服装鞋包,箱包,346.87,533.6
P0057,箱包Air-Y9,服装鞋包,箱包,510.73,732.31
P0058,箱包S-C4,服装鞋包,箱包,280.44,393.22
